SNR_dB,MethodIndex,Method,SelectedTp,Probability
0,1,Fixed short,8,1
0,1,Fixed short,12,0
0,1,Fixed short,16,0
0,1,Fixed short,20,0
0,1,Fixed short,24,0
0,1,Fixed short,28,0
0,1,Fixed short,32,0
0,1,Fixed short,36,0
0,1,Fixed short,40,0
0,2,Residual-adaptive,8,0.94
0,2,Residual-adaptive,12,0.038
0,2,Residual-adaptive,16,0.014
0,2,Residual-adaptive,20,0.003
0,2,Residual-adaptive,24,0.002
0,2,Residual-adaptive,28,0.002
0,2,Residual-adaptive,32,0.001
0,2,Residual-adaptive,36,0
0,2,Residual-adaptive,40,0
0,3,Stability-guided,8,0
0,3,Stability-guided,12,0
0,3,Stability-guided,16,0
0,3,Stability-guided,20,0
0,3,Stability-guided,24,0
0,3,Stability-guided,28,0
0,3,Stability-guided,32,0
0,3,Stability-guided,36,0
0,3,Stability-guided,40,1
0,4,Oracle stopping,8,0.001
0,4,Oracle stopping,12,0.001
0,4,Oracle stopping,16,0.008
0,4,Oracle stopping,20,0.008
0,4,Oracle stopping,24,0.012
0,4,Oracle stopping,28,0.018
0,4,Oracle stopping,32,0.031
0,4,Oracle stopping,36,0.035
0,4,Oracle stopping,40,0.886
0,5,Fixed long,8,0
0,5,Fixed long,12,0
0,5,Fixed long,16,0
0,5,Fixed long,20,0
0,5,Fixed long,24,0
0,5,Fixed long,28,0
0,5,Fixed long,32,0
0,5,Fixed long,36,0
0,5,Fixed long,40,1
2,1,Fixed short,8,1
2,1,Fixed short,12,0
2,1,Fixed short,16,0
2,1,Fixed short,20,0
2,1,Fixed short,24,0
2,1,Fixed short,28,0
2,1,Fixed short,32,0
2,1,Fixed short,36,0
2,1,Fixed short,40,0
2,2,Residual-adaptive,8,0.946
2,2,Residual-adaptive,12,0.035
2,2,Residual-adaptive,16,0.013
2,2,Residual-adaptive,20,0.004
2,2,Residual-adaptive,24,0.001
2,2,Residual-adaptive,28,0
2,2,Residual-adaptive,32,0.001
2,2,Residual-adaptive,36,0
2,2,Residual-adaptive,40,0
2,3,Stability-guided,8,0
2,3,Stability-guided,12,0
2,3,Stability-guided,16,0
2,3,Stability-guided,20,0
2,3,Stability-guided,24,0
2,3,Stability-guided,28,0
2,3,Stability-guided,32,0
2,3,Stability-guided,36,0
2,3,Stability-guided,40,1
2,4,Oracle stopping,8,0.002
2,4,Oracle stopping,12,0.014
2,4,Oracle stopping,16,0.02
2,4,Oracle stopping,20,0.038
2,4,Oracle stopping,24,0.061
2,4,Oracle stopping,28,0.072
2,4,Oracle stopping,32,0.07
2,4,Oracle stopping,36,0.067
2,4,Oracle stopping,40,0.656
2,5,Fixed long,8,0
2,5,Fixed long,12,0
2,5,Fixed long,16,0
2,5,Fixed long,20,0
2,5,Fixed long,24,0
2,5,Fixed long,28,0
2,5,Fixed long,32,0
2,5,Fixed long,36,0
2,5,Fixed long,40,1
4,1,Fixed short,8,1
4,1,Fixed short,12,0
4,1,Fixed short,16,0
4,1,Fixed short,20,0
4,1,Fixed short,24,0
4,1,Fixed short,28,0
4,1,Fixed short,32,0
4,1,Fixed short,36,0
4,1,Fixed short,40,0
4,2,Residual-adaptive,8,0.939
4,2,Residual-adaptive,12,0.04
4,2,Residual-adaptive,16,0.015
4,2,Residual-adaptive,20,0.003
4,2,Residual-adaptive,24,0.003
4,2,Residual-adaptive,28,0
4,2,Residual-adaptive,32,0
4,2,Residual-adaptive,36,0
4,2,Residual-adaptive,40,0
4,3,Stability-guided,8,0
4,3,Stability-guided,12,0
4,3,Stability-guided,16,0
